Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"BIGBEN INTERACTIVE";FR0000074072;BIG;"Euronext Paris";EUR;2.51;2.65;2.51;2.65;"14/02/2024 17:35";CET;28919;75006.36;2.65;14/02/2024
BILENDI;FR0004174233;ALBLD;"Euronext Growth Paris";EUR;14.88;14.90;14.88;14.88;"14/02/2024 17:13";CET;177;2634.38;14.88;14/02/2024
"BIO-UV GROUP";FR0013345493;ALTUV;"Euronext Growth Paris";EUR;2.42;2.42;2.33;2.39;"14/02/2024 17:25";CET;78134;185912.165;2.39;14/02/2024
BIOMERIEUX;FR0013280286;BIM;"Euronext Paris";EUR;100.85;101.45;100.50;101.35;"14/02/2024 17:35";CET;38102;3857306.15;101.35;14/02/2024
BIOPHYTIS;FR0012816825;ALBPS;"Euronext Growth Paris";EUR;0.0044;0.0046;0.0042;0.0043;"14/02/2024 17:35";CET;4123583;17969.5427;0.0043;14/02/2024
"BIOPHYTIS BSA";FR0013507290;BPSBS;"Euronext Growth Paris";EUR;0.004;0.004;0.004;0.004;"14/02/2024 17:15";CET;8427;33.708;0.004;14/02/2024
"BIOPHYTIS BSA";FR001400LN79;BPBS;"Euronext Growth Paris";EUR;0.0002;0.0002;0.0002;0.0002;"14/02/2024 10:13";CET;19500;3.90;0.0002;14/02/2024
BIOSENIC;BE0974280126;BIOS;"Euronext Brussels, Paris";EUR;0.0366;0.0382;0.0332;0.037;"14/02/2024 16:47";CET;822930;29778.0874;0.037;14/02/2024
BIOSYNEX;FR0011005933;ALBIO;"Euronext Growth Paris";EUR;7.11;7.26;7.01;7.04;"14/02/2024 17:35";CET;7121;50216.15;7.04;14/02/2024
BLEECKER;FR0000062150;BLEE;"Euronext Paris";EUR;163.00;163.00;163.00;163.00;"14/02/2024 14:47";CET;15;2445.00;163.00;14/02/2024
"BLUE SHARK POWER";FR0013340973;MLBSP;"Euronext Access Paris";EUR;8.10;8.10;8.10;8.10;"13/02/2024 11:30";CET;520;4212.00;8.10;14/02/2024
BLUELINEA;FR0011041011;ALBLU;"Euronext Growth Paris";EUR;1.115;1.12;1.115;1.12;"14/02/2024 15:28";CET;11;12.315;1.12;14/02/2024
"BNP PARIBAS ACT.A";FR0000131104;BNP;"Euronext Paris";EUR;53.50;54.34;53.42;53.92;"14/02/2024 17:36";CET;2374115;127993538.45;53.92;14/02/2024
"BOA CONCEPT";FR0011365907;ALBOA;"Euronext Growth Paris";EUR;25.30;25.50;25.10;25.50;"14/02/2024 17:19";CET;541;13679.60;25.50;14/02/2024
"BODY ONE";FR0010106039;MLONE;"Euronext Access Paris";EUR;0.324;0.324;0.324;0.324;"12/02/2024 16:30";CET;200;64.80;0.324;14/02/2024
BOIRON;FR0000061129;BOI;"Euronext Paris";EUR;36.26;36.40;35.54;36.14;"14/02/2024 17:36";CET;9781;353307.04;36.14;14/02/2024
BOLLORE;FR0000039299;BOL;"Euronext Paris";EUR;6.24;6.26;6.225;6.24;"14/02/2024 17:35";CET;504309;3147504.52;6.24;14/02/2024
BONDUELLE;FR0000063935;BON;"Euronext Paris";EUR;9.89;10.08;9.85;9.93;"14/02/2024 17:35";CET;31118;310106.16;9.93;14/02/2024
BONYF;BE6333353298;MLBON;"Euronext Access Paris";EUR;12.00;12.00;12.00;12.00;"08/04/2022 16:30";CET;100;1200.00;12.00;14/02/2024
BOOSTHEAT;FR001400IAM7;ALBOO;"Euronext Growth Paris";EUR;0.0006;0.0006;0.0005;0.0006;"14/02/2024 17:06";CET;42794535;25244.6422;0.0006;14/02/2024
"BOURRELIER GROUP";FR0000054421;ALBOU;"Euronext Growth Paris";EUR;49.20;49.20;49.20;49.20;"12/02/2024 11:30";CET;2;98.40;49.20;14/02/2024
"BOURSE DIRECT";FR0000074254;BSD;"Euronext Paris";EUR;4.82;4.85;4.80;4.85;"14/02/2024 17:35";CET;2065;9970.69;4.85;14/02/2024
BOUYGUES;FR0000120503;EN;"Euronext Paris";EUR;32.97;33.45;32.97;33.40;"14/02/2024 17:35";CET;787358;26259230.92;33.40;14/02/2024
"BOUYGUES NV24";FR001400M3D7;ENNV;"Euronext Paris";EUR;-;-;-;-;-;CET;-;-;34.12;14/02/2024
BROADPEAK;FR001400AJZ7;ALBPK;"Euronext Growth Paris";EUR;2.70;2.71;2.41;2.41;"14/02/2024 17:36";CET;13198;33983.03;2.41;14/02/2024
"BUREAU VERITAS";FR0006174348;BVI;"Euronext Paris";EUR;24.63;24.93;24.62;24.84;"14/02/2024 17:35";CET;389436;9669237.56;24.84;14/02/2024
BURELLE;FR0000061137;BUR;"Euronext Paris";EUR;385.00;386.00;385.00;385.00;"14/02/2024 16:38";CET;35;13479.00;385.00;14/02/2024
"CA TOULOUSE 31 CCI";FR0000045544;CAT31;"Euronext Paris";EUR;63.95;64.00;63.50;64.00;"14/02/2024 16:23";CET;127;8087.71;64.00;14/02/2024
CABASSE;FR001400DIY6;ALCAB;"Euronext Growth Paris";EUR;2.23;2.23;2.21;2.21;"14/02/2024 17:22";CET;154;342.04;2.21;14/02/2024
CAFOM;FR0010151589;CAFO;"Euronext Paris";EUR;9.20;9.30;9.12;9.12;"14/02/2024 17:35";CET;722;6632.88;9.12;14/02/2024
"CAMBODGE NOM.";FR0000079659;CBDG;"Euronext Paris";EUR;6600.00;6600.00;6600.00;6600.00;"14/02/2024 16:30";CET;1;6600.00;6600.00;14/02/2024
CAPELLI;FR0012969095;ALCAP;"Euronext Growth Paris";EUR;6.62;7.26;6.62;6.86;"14/02/2024 17:25";CET;1434;9988.52;6.86;14/02/2024
CAPGEMINI;FR0000125338;CAP;"Euronext Paris";EUR;213.80;220.80;208.70;220.00;"14/02/2024 17:35";CET;729122;158768422.20;220.00;14/02/2024
CARBIOS;FR0011648716;ALCRB;"Euronext Growth Paris";EUR;21.55;21.80;21.50;21.65;"14/02/2024 17:35";CET;21151;457448.00;21.65;14/02/2024
CARMAT;FR0010907956;ALCAR;"Euronext Growth Paris";EUR;4.25;4.43;4.13;4.30;"14/02/2024 17:35";CET;96247;415864.315;4.30;14/02/2024
CARMILA;FR0010828137;CARM;"Euronext Paris";EUR;15.66;15.68;15.04;15.04;"14/02/2024 17:36";CET;57398;875937.84;15.04;14/02/2024
"CARPINIENNE PART.";FR0000064156;CARP;"Euronext Paris";EUR;6.30;6.30;6.30;6.30;"21/08/2023 11:30";CET;110;693.00;6.30;14/02/2024
CARREFOUR;FR0000120172;CA;"Euronext Paris";EUR;14.985;15.165;14.97;14.97;"14/02/2024 17:35";CET;1258684;18901784.385;14.97;14/02/2024
"CASINO GUICHARD";FR0000125585;CO;"Euronext Paris";EUR;0.503;0.5065;0.488;0.4972;"14/02/2024 17:35";CET;243823;120628.459;0.4972;14/02/2024
"CATANA GROUP";FR0010193052;CATG;"Euronext Paris";EUR;5.48;5.52;5.43;5.49;"14/02/2024 17:35";CET;36177;198055.12;5.49;14/02/2024
